ID;PT;SATELLITE_NAME;FREQ;POL;AZ_REAL;UM_REAL;COMMENT
185;156;Optus D3;0;0;0;0;AC-7.2m
186;157;Intelsat 1R ;0;0;0;0;AC-7.2m
187;159;ABS-6 ;0;0;0;0;AC-7.2m
188;160;Optus D1;0;0;0;0;AC-7.2m
189;162;Superbird B3 ;0;0;0;0;AC-7.2m
190;163;Yamal 202 ;0;0;0;0;AC-7.2m
191;166;Intelsat 19 ;0;0;0;0;AC-7.2m
192;167;Luch 5A ;0;0;0;0;AC-7.2m
193;169;Horizons 3E;0;0;0;0;AC-7.2m
194;172;Eutelsat 172B;0;0;0;0;AC-7.2m
195;174;Eutelsat 174A ;0;0;0;0;AC-7.2m
196;176;NSS 11 ;0;0;0;0;AC-7.2m
197;178;Intelsat 10 ;0;0;0;0;AC-7.2m
198;180;Intelsat 18 ;0;0;0;0;AC-7.2m
199;180;Inmarsat GX3 ;0;0;0;0;AC-7.2m
200;-177;NSS 9;0;0;0;0;AC-7.2m
201;-177;Yamal 300K ;0;0;0;0;AC-7.2m
202;-169;NSS 6;0;0;0;0;AC-7.2m
203;-143;Hispasat 143W-1 ;0;0;0;0;AC-7.2m
204;-139;Eutelsat 139 West A ;0;0;0;0;AC-7.2m
205;-139;Spaceway 2 ;0;0;0;0;AC-7.2m
206;-135;AMC 4 ;0;0;0;0;AC-7.2m
207;-135;AMC 8 ;0;0;0;0;AC-7.2m
208;-133;Galaxy 15 ;0;0;0;0;AC-7.2m
209;-133;Eutelsat 133 West A ;0;0;0;0;AC-7.2m
210;-131;AMC 1 ;0;0;0;0;AC-7.2m
211;-131;AMC 11 ;0;0;0;0;AC-7.2m
212;-129;Galaxy 12 ;0;0;0;0;AC-7.2m
213;-129;Ciel 2 ;0;0;0;0;AC-7.2m
214;-129;SES 15;0;0;0;0;AC-7.2m
215;-127;Horizons 1 ;0;0;0;0;AC-7.2m
216;-125;AMC 21;0;0;0;0;AC-7.2m
217;-125;Galaxy 30 ;0;0;0;0;AC-7.2m
218;-123;Galaxy 18 ;0;0;0;0;AC-7.2m
219;-121;Galaxy 23 ;0;0;0;0;AC-7.2m
220;-119;Echostar 7;0;0;0;0;AC-7.2m
221;-119;Anik F3;0;0;0;0;AC-7.2m
222;-119;Directv 8;0;0;0;0;AC-7.2m
223;-119;Echostar 14 ;0;0;0;0;AC-7.2m
224;-117;Eutelsat 117 West A ;0;0;0;0;AC-7.2m
225;-117;Eutelsat 117 West B ;0;0;0;0;AC-7.2m
226;-116;Sirius FM-6 ;0;0;0;0;AC-7.2m
227;-115;MexSat Bicentenario ;0;0;0;0;AC-7.2m
228;-115;Eutelsat 115 West B ;0;0;0;0;AC-7.2m
229;-115;Sirius XM7 ;0;0;0;0;AC-7.2m
230;-115;XM 4 ;0;0;0;0;AC-7.2m
231;-115;XM 5 ;0;0;0;0;AC-7.2m
232;-115;ViaSat 1 ;0;0;0;0;AC-7.2m
233;-113;Eutelsat 113 West A ;0;0;0;0;AC-7.2m
234;-113;MexSat 2 ;0;0;0;0;AC-7.2m
235;-111;Wildblue 1 ;0;0;0;0;AC-7.2m
236;-111;Anik F2 ;0;0;0;0;AC-7.2m
237;-111;Echostar T1 ;0;0;0;0;AC-7.2m
238;-110;Echostar 10 ;0;0;0;0;AC-7.2m
239;-110;Directv 5 ;0;0;0;0;AC-7.2m
240;-110;Echostar 11 ;0;0;0;0;AC-7.2m
241;-109;Anik F1;0;0;0;0;AC-7.2m
242;-107;Anik F1R;0;0;0;0;AC-7.2m
243;-107;Echostar 17 ;0;0;0;0;AC-7.2m
244;-107;Anik G1;0;0;0;0;AC-7.2m
245;-107;AMSC 1 ;0;0;0;0;AC-7.2m
246;-105;SES 11 ;0;0;0;0;AC-7.2m
247;-105;AMC 15;0;0;0;0;AC-7.2m
248;-103;Directv 10;0;0;0;0;AC-7.2m
249;-103;Directv 12 ;0;0;0;0;AC-7.2m
250;-103;SES 3 ;0;0;0;0;AC-7.2m
251;-103;Directv 15;0;0;0;0;AC-7.2m
252;-101;Directv 16 ;0;0;0;0;AC-7.2m
253;-101;Directv 9S ;0;0;0;0;AC-7.2m
254;-101;SES 1 ;0;0;0;0;AC-7.2m
255;-101;Skyterra 1;0;0;0;0;AC-7.2m
256;-99;Galaxy 16 ;0;0;0;0;AC-7.2m
257;-99;Directv 11;0;0;0;0;AC-7.2m
258;-99;Directv 14 ;0;0;0;0;AC-7.2m
259;-98;Inmarsat-4F3 ;0;0;0;0;AC-7.2m
260;-97;Galaxy 19 ;0;0;0;0;AC-7.2m
261;-97;Echostar 19 ;0;0;0;0;AC-7.2m
262;-95;Intelsat 30 ;0;0;0;0;AC-7.2m
263;-95;Intelsat 31 ;0;0;0;0;AC-7.2m
